Category,Calcium,Carbohydrate,Fiber,VitaminA,Sugar_Level,Fat_Level,Protein_Level
Cereal or granola bar (Quaker Chewy Granola Bar),41.0,70.2,3.8,0.0,High,Medium,Medium
Nutrition bar (Snickers Marathon Protein Bar),625.0,50.5,12.5,652.0,High,Medium,High
Finger Foods,535.0,85.79,3.8,1.0,High,Low,Medium
Pretzel,25.0,82.2,2.3,0.0,Low,Low,Medium
Cake made with glutinous rice,24.0,53.66,1.2,0.0,High,Medium,Low
Quinoa,17.0,20.55,2.733333333333333,26.666666666666668,Low,Low,Low
Wheat,173.0,18.84,0.4,52.0,Medium,Low,Low
Cereal (General Mills Cheerios Berry Burst),370.0,80.5,7.6,549.0,High,Low,Medium
Cereal (Kellogg's Low Fat Granola),82.0,73.75,9.4,1.0,High,Medium,Medium
Cereal (Kellogg's Smart Start Strong),29.0,86.8,5.4,688.0,High,Low,Medium
Burrito with meat,175.0,17.978,2.0,45.0,Low,Medium,Medium
Taco or tostada with chicken and sour cream,109.0,17.73,2.2,62.0,Low,Medium,Medium
Ground beef with tomato sauce and taco seasonings on a cornbread crust,53.0,20.49,2.6,30.0,Medium,Medium,Medium
Quesadilla with vegetables,286.0,29.37,2.2,99.0,Low,Medium,Medium
Taquito or flauta with egg,178.0,27.02,2.0,82.0,Low,Medium,Medium
Knish,31.0,30.189999999999998,1.2333333333333334,197.0,Low,High,Medium
Cheese quiche,271.0,13.33,0.8,266.0,Low,High,Medium
Dressing with oysters,96.0,18.37,1.2,100.0,Low,Medium,Low
Lasagna with meat and spinach,263.0,13.8,1.1,103.0,Low,Medium,Medium
Chow fun noodles with vegetables,15.0,14.46,1.1,7.0,Low,Low,Low
Pasta with tomato-based sauce and cheese,50.0,14.98,1.7,33.0,Low,Low,Low
Pasta with tomato-based sauce and seafood,23.0,18.8,1.5666666666666667,18.666666666666668,Low,Low,Medium
Pasta with cream sauce and seafood,38.333333333333336,16.293333333333337,0.9,67.0,Low,Medium,Medium
Macaroni or pasta salad with tuna,10.0,20.87,1.2,7.0,Low,Medium,Medium
Macaroni or pasta salad with shrimp,28.0,21.1,1.2,5.0,Low,Medium,Medium
Sushi roll,9.5,16.683333333333334,0.9833333333333334,54.833333333333336,Low,Low,Low
Beans and brown rice,52.0,24.17,4.2,0.0,Low,Low,Medium
Black beans and brown rice,17.0,23.4,5.5,0.0,Low,Low,Medium
Stuffed pepper,84.0,8.636666666666667,1.0999999999999999,44.666666666666664,Low,Medium,Medium
Spaghetti with meat and mushroom sauce,17.0,16.68,1.6,17.0,Low,Low,Medium
Wonton soup,5.0,5.25,0.2,1.0,Low,Low,Low
Grapefruit juice,39.4,8.356,0.18,4.4,Medium,Low,Low
Pineapple,17.666666666666668,24.918333333333337,1.45,2.6666666666666665,High,Low,Low
Passion fruit,12.0,23.38,10.4,64.0,Medium,Low,Low
Pomegranate,10.0,18.7,4.0,0.0,Medium,Low,Low
Potato,39.65714285714286,19.65857142857144,1.7552380952380942,31.085714285714285,Low,Medium,Low
Potato patty,34.0,13.4,1.5,61.0,Low,Medium,Low
Plantain soup,11.0,7.15,0.4,12.0,Low,Low,Low
Chard,52.5,3.8200000000000003,1.65,310.0,Low,Low,Low
Caesar salad,114.0,6.78,1.8,398.0,Low,Low,Low
Squash,43.77777777777778,8.16888888888889,1.166666666666667,91.0,Low,Low,Low
Tomato juice,10.5,4.06,0.6000000000000001,50.5,Low,Low,Low
Tomato vegetable soup with noodles,10.0,4.89,0.3,71.0,Low,Low,Low
Eggplant,9.6,6.874,3.0,3.4,Low,Low,Low
Cabbage salad or coleslaw,34.375,9.5025,1.975,73.875,Medium,Medium,Low
Corn fritter,132.0,40.77,2.2,45.0,Low,High,Medium
Pea salad with cheese,94.0,9.75,2.5,97.0,Low,Medium,Medium
Creamed christophine,47.0,24.99,1.5,41.0,High,Low,Low
Pea soup,72.0,12.7,2.0,32.0,Medium,Low,Low
Mixed vegetables,16.0,7.859999999999999,1.3333333333333333,309.3333333333333,Low,Low,Low
Peas,18.75,8.844999999999999,2.475,12.0,Low,Low,Low
Peas and brown rice,14.0,11.49,2.5,19.0,Low,Low,Low
Vegetable and turkey,21.666666666666668,7.583333333333333,1.2,218.0,Low,Low,Low
Butter-oil blend,29.5,0.015,0.0,628.75,Low,High,Low
Shortening,1.0,0.0,0.0,0.0,Low,High,Low
Almond oil,0.0,0.0,0.0,0.0,Low,High,Low
French or Catalina dressing,14.333333333333334,27.383333333333336,2.033333333333333,18.0,High,Medium,Low
Mayonnaise-type salad dressing,5.0,15.59,0.0,3.5,Medium,Medium,Low
Sesame dressing,17.0,9.295,0.5,1.5,Medium,High,Low
Soy based sauce,9.0,20.07,0.2,0.0,Medium,Low,Low
Tomato sauce,8.0,12.08,0.6,9.0,Medium,Medium,Low
Sweet and sour sauce,10.0,38.22,0.1,1.0,High,Low,Low
Gelatin salad with vegetables,6.0,14.02,0.7,32.0,Medium,Low,Low
Toblerone,126.0,61.21,2.5,37.0,High,High,Medium
Chocolate candy with fondant and caramel,141.0,69.3,2.2,39.0,High,High,Medium
Fruit peel,18.0,82.74,1.6,1.0,High,Low,Low
Peanut brittle,27.0,71.24,2.5,39.0,High,Medium,Medium
Reese's Pieces,69.0,59.86,3.0,0.0,High,High,Medium
Hard candy,3.0,98.0,0.0,0.0,High,Low,Low
M&M's Milk Chocolate Candies,105.0,71.19,2.8,56.0,High,High,Low
Dietetic or low calorie candy,142.5,68.14,1.75,27.5,Medium,High,Medium
Corn beverage,3.0,9.4,0.5,1.0,Low,Low,Low
Fruit punch,10.333333333333334,11.270000000000001,0.19999999999999998,1.0,Medium,Low,Low
Fruit juice beverage,9.0,11.4,0.1,2.0,Medium,Low,Low
Oatmeal beverage with water,4.0,10.61,0.2,0.0,Medium,Low,Low
Bacardi cocktail,2.0,16.11,0.0,0.0,High,Low,Low
Rum,4.0,2.475,0.05,17.5,Low,Low,Low
Scotch,0.0,0.0,0.0,0.0,Low,Low,Low
Water,5.1,1.251,0.0,6.4,Low,Low,Low
Nutritional drink or shake,125.1875,11.149999999999997,0.83125,138.25,Medium,Low,Low
Energy drink (Vault),2.0,12.99,0.0,0.0,Medium,Low,Low
Dark green vegetables as ingredient in omelet,92.0,5.38,2.5,372.0,Low,Low,Low
Industrial oil as ingredient in food,0.0,0.0,0.0,0.0,Low,High,Low
Tzatziki dip,64.0,3.95,0.2,3.0,Low,Medium,Medium
Creamsicle,49.5,22.205,0.9,63.0,Medium,Low,Low
Banana pudding,26.5,21.04,0.8500000000000001,10.0,Medium,Low,Low
Tiramisu,66.0,29.59,0.4,220.0,High,High,Medium
Topping from meat pizza,314.0,5.65,0.7,105.0,Low,High,High
Ground meat,24.0,0.0,0.0,3.0,Low,Medium,High
Beef steak,23.166666666666668,3.8044444444444445,0.17777777777777773,6.777777777777778,Low,Medium,High
Beef jerky,20.0,11.0,1.8,0.0,Medium,High,High
Pork skin,22.0,0.0,0.0,24.0,Low,High,Medium
Goat ribs,17.0,0.0,0.0,0.0,Low,Low,High
Tripe,72.0,0.0,0.0,0.0,Low,Low,Medium
Ham and pork,0.0,4.6,0.0,0.0,Low,High,Medium
Fish,37.32,6.737199999999999,0.41600000000000004,39.16,Low,Medium,High
Flounder,42.473684210526315,6.694210526315788,0.35789473684210527,31.210526315789473,Low,Medium,High
Mackerel,50.0,3.9769999999999994,0.24,46.5,Low,Medium,High
Shrimp,92.8,8.2285,0.4149999999999999,62.25,Low,Medium,High
Chili con carne with beans and cheese,68.0,12.54,3.1,38.0,Low,Medium,Medium
Beef sloppy joe,26.0,9.14,0.8,14.0,Medium,Medium,Medium
Beef with barbecue sauce,14.0,11.75,0.3,3.0,Medium,Medium,High
Beef and potatoes,8.0,14.52,1.3,0.0,Low,Low,Medium
Beef and macaroni with cheese sauce,52.0,12.31,0.5,17.0,Low,Medium,Medium
Beef and noodles with cream or white sauce,43.0,15.02,0.6,42.0,Low,Medium,Medium
Biryani with meat,33.0,12.2,1.0,16.0,Low,Medium,Medium
Pork and rice with tomato-based sauce,13.0,16.78,0.7,7.0,Low,Medium,Medium
Chicken or turkey tetrazzini,18.0,6.96,0.5,20.0,Low,Low,Medium
Tuna cake or patty,25.0,2.63,0.2,28.0,Low,Medium,High
Stewed rabbit,20.0,6.83,1.0,2.0,Low,Medium,High
Meat pie,71.0,22.375,1.1,20.0,Low,High,Medium
Beef and broccoli,34.0,5.31,1.4,14.0,Low,Medium,Medium
Beef and vegetables,49.0,14.13,1.8,95.0,Medium,Low,Low
Beef salad,19.0,2.82,0.4,12.0,Low,Medium,High
Ham or pork salad,14.0,2.75,0.4,12.0,Low,Medium,Medium
Stuffed christophine,34.0,4.44,1.5,30.0,Low,Medium,Medium
Chicken or turkey and vegetables excluding carrots,39.8,5.568,1.02,16.4,Low,Medium,Medium
Tuna casserole with vegetables and mushroom sauce,40.0,8.41,0.9,35.0,Low,Medium,Medium
Codfish salad,15.0,2.81,0.7,17.0,Low,Medium,Medium
Cheeseburger,199.0909090909091,18.427272727272733,1.0545454545454545,40.63636363636363,Low,Medium,High
Chiliburger,56.0,18.36,1.5,7.0,Low,Medium,Medium
Steak sandwich,53.0,22.810000000000002,1.15,6.0,Low,Medium,High
Chicken and rice dinner,18.0,9.2,1.1,58.0,Low,Low,Low
Beef dinner,15.0,10.94,1.2,52.0,Low,Medium,Medium
Sirloin tips,14.0,7.44,1.2,45.0,Low,Medium,Medium
Beef short ribs,22.0,15.6,1.4,19.0,Medium,Medium,Medium
Chicken dinner,34.0,13.25,1.0,49.0,Low,Low,Medium
Salmon soup,74.0,1.7,0.2,46.0,Low,Low,Medium
Mole sauce,10.0,10.77,1.0,32.0,Medium,Low,Low
Quail egg,64.0,0.41,0.0,156.0,Low,Medium,Medium
Egg and ham on biscuit,115.0,16.37,0.4,60.0,Low,Medium,Medium
Egg salad sandwich,97.0,17.49,0.8,72.0,Low,High,Medium
Kidney beans with meat,24.0,18.33,5.9,1.0,Low,Medium,Medium
Refried beans with meat,27.0,11.76,3.2,1.0,Low,Low,Medium
Beans and franks,33.0,17.29,3.3,1.0,Medium,Medium,Medium
Papad,143.0,59.87,18.6,13.0,Low,Low,High
Breakfast link,63.0,8.09,2.8,0.0,Low,Medium,High
Meatball,25.0,8.0,4.6,0.0,Low,Medium,High
Vegetarian stew,33.0,3.07,1.1,27.0,Low,Low,Low
Trail mix,62.0,51.12,6.5,1.0,High,High,Medium
Garlic bread,63.285714285714285,39.75285714285714,2.3714285714285714,23.142857142857142,Low,Medium,Medium
Coffee cake,111.25,49.3225,1.625,91.0,High,Medium,Medium
Tortilla,146.25,46.730000000000004,6.125,0.0,Low,Medium,Medium
Marie biscuit,0.0,70.54,3.5,1.0,High,Medium,Medium
Air filled fritter or fried puff,25.0,50.21,0.6,211.0,High,High,Medium
Wheat flour fritter,28.0,19.5,0.7,250.0,Low,High,Medium
Cereal or granola bar (Kashi Chewy),103.0,63.42,7.7,17.0,High,Medium,High
Nutrition bar (PowerBar),504.0,69.63,5.7,0.0,High,Low,Medium
Graham crackers,144.75,73.625,3.2,0.5,High,Medium,Medium
Rice cake,11.0,81.1,4.2,0.0,Low,Low,Medium
Pretzel chips,19.0,77.55,3.266666666666667,0.0,Low,Low,Medium
Barley,11.0,27.80333333333333,3.766666666666667,7.666666666666667,Low,Low,Low
Cornmeal,120.0,28.12,0.5,57.0,High,Low,Low
Masa harina,44.0,20.5,1.7,0.0,Low,Low,Low
Congee,7.0,6.7700000000000005,0.2,1.25,Low,Low,Low
Couscous,8.0,23.11,1.4,0.0,Low,Low,Low
Cereal (General Mills Honey Nut Clusters),34.0,85.2,6.3,0.0,High,Low,Medium
Cereal (Kashi GOLEAN Crunch),59.0,71.4,14.5,1.0,High,Medium,High
Cereal (General Mills Honey Kix),455.0,83.0,8.3,868.0,High,Low,Medium
Cereal (Malt-O-Meal Frosted Flakes),3.0,90.2,1.2,454.0,High,Low,Low
Cereal (Malt-O-Meal Fruity Dyno-Bites),3.0,90.1,1.0,1090.0,High,Low,Low
Cereal (Quaker Granola with Oats,82.0,73.75,9.4,1.0,High,Medium,Medium
Cereal (Kellogg's Rice Krispies Treats Cereal),10.0,85.59,0.4,500.0,High,Low,Low
Cereal (Kellogg's Special K Vanilla Almond),34.0,83.0,9.6,749.0,High,Low,Medium
Rice cereal,438.5,50.120000000000005,1.15,0.5,Low,Low,Low
Mixed cereal with bananas,696.0,77.1,7.8,6.0,Medium,Low,Medium
Taco or tostada with fish,109.0,20.39,2.6,47.0,Low,Medium,Medium
Taco or tostada salad,89.0,18.29,3.5,32.0,Low,Medium,Medium
Chimichanga,105.5,23.97,2.95,17.5,Low,Medium,Medium
Taquito or flauta with meat and cheese,97.0,33.46,2.8,35.0,Low,Medium,Medium
Fajita with meat and vegetables,57.0,14.73,1.5,27.0,Low,Medium,Medium
Pizza with extra meat,170.33333333333334,25.323333333333334,1.8,55.666666666666664,Low,Medium,Medium
Hayacas,19.0,9.36,1.1,22.0,Low,Medium,Medium
Croissant sandwich with sausage and egg,35.0,21.29,1.2,148.0,Medium,High,Medium
Croissant sandwich with bacon,146.0,22.5,1.0,176.0,Low,Medium,Medium
Pasta with vegetables,15.0,23.14,2.3,109.0,Low,Low,Low
Pasta with tomato-based sauce and poultry,15.666666666666666,18.543333333333333,1.5666666666666667,13.666666666666666,Low,Low,Medium
Bibimbap,31.0,8.61,1.1,141.0,Low,Low,Medium
Seafood paella,34.0,15.71,0.9,33.0,Low,Medium,Medium
Soupy rice mixture with chicken and potatoes,12.0,12.06,0.9,6.0,Low,Low,Medium
Kidney beans and white rice,20.0,23.91,4.3,0.0,Low,Low,Medium
Flavored rice,7.0,19.27,1.2,16.0,Low,Low,Low
Noodles with vegetables in tomato-based sauce,49.0,10.84,1.7,19.0,Low,Low,Low
Cheese enchilada,176.0,19.55,3.0,63.0,Medium,Medium,Medium
Chicken or turkey soup with dumplings,11.0,4.46,0.8,62.0,Low,Low,Low
Grapefruit,18.5,9.905000000000001,1.0,29.0,Medium,Low,Low
Pear,10.333333333333334,22.665000000000003,3.1166666666666667,0.16666666666666666,High,Low,Low
Cantaloupe,9.0,8.16,0.8,232.0,Medium,Low,Low
Blackberries,29.0,12.64,5.15,8.5,Medium,Low,Low
Fruit bar,18.0,76.61,2.0,12.0,High,Low,Low
Bananas,6.0,18.563333333333333,1.6000000000000003,1.3333333333333333,Medium,Low,Low
Peaches,4.5,13.809999999999999,1.175,27.25,Medium,Low,Low
Pineapple dessert,31.0,20.3,0.7,11.0,Medium,Low,Low
Potato and cheese soup,60.0,8.54,1.0,56.0,Low,Low,Low
Mustard cabbage,110.0,2.28,1.0,232.0,Low,Low,Low
Palak Paneer,70.0,4.31,1.2,178.0,Low,Medium,Medium
Turrnip greens,133.0,4.23,3.4,380.0,Low,Low,Low
Broccoli soup,52.5,5.095000000000001,0.9,47.5,Low,Low,Low
Dark-green leafy vegetable soup with meat,29.0,5.56,1.0,48.0,Low,Low,Medium
Carrots,29.925925925925927,8.057407407407407,2.3296296296296304,688.1851851851852,Low,Low,Low
Tomato and cucumber salad made with tomato,11.0,6.53,0.6,13.0,Medium,Medium,Low
Bean sprouts,34.5,6.01,2.55,6.0,Low,Low,Medium
Cucumber,17.0,3.7999999999999994,0.5333333333333333,9.333333333333334,Low,Low,Low
Summer squash,18.1875,3.7768750000000004,1.20625,15.4375,Low,Low,Low
Hot peppers,14.0,7.72,2.2,60.0,Low,Low,Low
Vegetable tempura,21.0,20.26,1.6,62.0,Low,Medium,Low
Vegetable curry with rice,17.0,16.43,1.3,39.0,Low,Low,Low
Relish,3.5,30.36,1.35,35.0,High,Low,Low
Ginger root,74.0,4.83,2.6,0.0,Low,Low,Low
Corn soup,22.0,9.745000000000001,0.75,17.5,Low,Low,Low
Vegetable chicken rice soup,14.0,5.41,0.4,122.0,Low,Low,Medium
Potatoes,4.0,11.73,0.9,0.0,Low,Low,Low
Butter replacement,22.0,44.93,0.0,409.5,Low,High,Low
Oil or table fat,11.0,0.18,0.0,369.0,Low,High,Low
Poppy seed dressing,59.0,23.73,0.3,51.0,High,High,Low
Sugar substitute,0.3333333333333333,65.0588888888889,0.15555555555555556,0.0,High,Low,Low
Agave liquid sweetener,1.0,76.37,0.2,8.0,High,Low,Low
Dessert sauce,5.0,19.53,0.0,66.0,High,Medium,Low
Jam,15.5,47.2475,1.425,9.0,High,Low,Low
Gelatin dessert,3.0,7.756666666666667,0.06666666666666667,0.6666666666666666,Low,Low,Low
Haupia,14.0,23.52,2.0,0.0,Medium,High,Low
Italian Ice,1.0,19.26,0.0,0.0,High,Low,Low
Halvah,47.0,57.644999999999996,4.35,9.0,High,High,Medium
Taffy,9.0,82.15,0.0,0.0,High,Medium,Low
Coffee and chicory,2.0,0.0,0.0,0.0,Low,Low,Low
Cereal beverage,4.0,1.0,0.3,0.0,Low,Low,Low
Carbonated water,3.3333333333333335,2.9333333333333336,0.0,0.0,Low,Low,Low
Fruit flavored drink,141.27272727272728,29.803636363636368,0.045454545454545456,60.18181818181818,High,Low,Low
Greyhound,12.0,5.71,0.2,2.0,Medium,Low,Low
Tequila Sunrise,38.0,13.47,0.2,1.0,Medium,Low,Low
Nutritional powder mix,648.3636363636364,32.47909090909091,5.054545454545455,1005.4545454545455,High,Medium,High
Nutritional powder mix (EAS Soy Protein Powder),95.0,43.94,0.0,0.0,High,Low,High
Energy drink (XS Gold Plus),13.0,0.7,0.0,0.0,Low,Low,Low
